list-dm,8,4,96,246365,2566.302083
list-dm,12,4,144,311867,2165.743056
list-ilm,2,4,24,106995,4458.125000
list-ilm,4,4,48,175439,3654.979167
list-ilm,8,4,96,254474,2650.770833
list-ilm,12,4,144,323163,2244.187500
list-dlm,2,4,24,108237,4509.875000
list-dlm,4,4,48,151517,3156.604167
list-dlm,8,4,96,240378,2503.937500
list-dlm,12,4,144,305189,2119.368056
list-im,2,8,48,144845,3017.604167
list-im,4,8,96,176678,1840.395833
list-im,8,8,192,228090,1187.968750
list-im,12,8,288,286539,994.927083
list-dm,2,8,48,66073,1376.520833
list-dm,4,8,96,114095,1188.489583
list-dm,8,8,192,270950,1411.197917
list-dm,12,8,288,301521,1046.947917
list-ilm,2,8,48,121062,2522.125000
list-ilm,4,8,96,156953,1634.927083
list-ilm,8,8,192,224801,1170.838542
list-ilm,12,8,288,310715,1078.871528
list-dlm,2,8,48,130063,2709.645833
list-dlm,4,8,96,117251,1221.364583
list-dlm,8,8,192,232727,1212.119792
list-dlm,12,8,288,333789,1158.989583
list-im,2,16,96,73423,764.822917
list-im,4,16,192,122014,635.489583
list-im,8,16,384,224944,585.791667
list-im,12,16,576,326609,567.029514
list-dm,2,16,96,119170,1241.354167
list-dm,4,16,192,148003,770.848958
list-dm,8,16,384,249531,649.820312
list-dm,12,16,576,305919,531.109375
list-ilm,2,16,96,121570,1266.354167
list-ilm,4,16,192,171846,895.031250
list-ilm,8,16,384,251486,654.911458
list-ilm,12,16,576,339460,589.340278
list-dlm,2,16,96,107694,1121.812500
list-dlm,4,16,192,184200,959.375000
list-dlm,8,16,384,279254,727.223958
list-dlm,12,16,576,307159,533.262153
list-im,2,32,192,115937,603.838542
list-im,4,32,384,176573,459.825521
list-im,8,32,768,284325,370.214844
list-im,12,32,1152,366552,318.187500
list-dm,2,32,192,91360,475.833333
list-dm,4,32,384,216556,563.947917
list-dm,8,32,768,271188,353.109375
list-dm,12,32,1152,374168,324.798611
list-ilm,2,32,192,148336,772.583333
list-ilm,4,32,384,201390,524.453125
list-ilm,8,32,768,283990,369.778646
list-ilm,12,32,1152,492818,427.793403
list-dlm,2,32,192,138080,719.166667
list-dlm,4,32,384,212521,553.440104
list-dlm,8,32,768,320601,417.449219
list-dlm,12,32,1152,380113,329.959201
list-is,2,1,6,115359,19226.500000
list-is,4,1,12,128210,10684.166667
list-is,8,1,24,249183,10382.625000
list-is,12,1,36,305718,8492.166667
list-ds,2,1,6,178386,29731.000000
list-ds,4,1,12,128130,10677.500000
list-ds,8,1,24,210226,8759.416667
list-ds,12,1,36,290686,8074.611111
list-ils,2,1,6,68096,11349.333333
list-ils,4,1,12,111602,9300.166667
list-ils,8,1,24,211172,8798.833333
list-ils,12,1,36,309375,8593.750000
list-dls,2,1,6,109960,18326.666667
list-dls,4,1,12,162341,13528.416667
list-dls,8,1,24,216910,9037.916667
list-dls,12,1,36,300918,8358.833333
list-is,2,2,12,109535,9127.916667
list-is,4,2,24,116842,4868.416667
list-is,8,2,48,199263,4151.312500
list-is,12,2,72,284643,3953.375000
list-ds,2,2,12,102039,8503.250000
list-ds,4,2,24,152107,6337.791667
list-ds,8,2,48,264753,5515.687500
list-ds,12,2,72,287036,3986.611111
list-ils,2,2,12,103519,8626.583333
list-ils,4,2,24,172530,7188.750000
list-ils,8,2,48,246419,5133.729167
list-ils,12,2,72,317480,4409.444444
list-dls,2,2,12,80311,6692.583333
list-dls,4,2,24,126097,5254.041667
list-dls,8,2,48,254564,5303.416667
list-dls,12,2,72,317197,4405.513889
list-is,2,4,24,119067,4961.125000
list-is,4,4,48,103521,2156.687500
list-is,8,4,96,201559,2099.572917
list-is,12,4,144,337994,2347.180556
list-ds,2,4,24,100059,4169.125000
list-ds,4,4,48,176953,3686.520833
list-ds,8,4,96,243045,2531.718750
list-ds,12,4,144,333097,2313.173611
list-ils,2,4,24,113086,4711.916667
list-ils,4,4,48,175212,3650.250000
list-ils,8,4,96,203802,2122.937500
list-ils,12,4,144,317437,2204.423611
list-dls,2,4,24,69926,2913.583333
list-dls,4,4,48,165161,3440.854167
list-dls,8,4,96,266380,2774.791667
list-dls,12,4,144,338662,2351.819444
list-is,2,8,48,81241,1692.520833
list-is,4,8,96,232643,2423.364583
list-is,8,8,192,226447,1179.411458
list-is,12,8,288,310604,1078.486111
list-ds,2,8,48,69424,1446.333333
list-ds,4,8,96,120882,1259.187500
list-ds,8,8,192,241974,1260.281250
list-ds,12,8,288,288424,1001.472222
list-ils,2,8,48,86913,1810.687500
list-ils,4,8,96,114288,1190.500000
list-ils,8,8,192,252152,1313.291667
list-ils,12,8,288,322375,1119.357639
list-dls,2,8,48,104584,2178.833333
list-dls,4,8,96,188414,1962.645833
list-dls,8,8,192,229912,1197.458333
list-dls,12,8,288,319221,1108.406250
list-is,2,16,96,120768,1258.000000
list-is,4,16,192,165823,863.661458
list-is,8,16,384,270714,704.984375
list-is,12,16,576,294735,511.692708
list-ds,2,16,96,128687,1340.489583
list-ds,4,16,192,179685,935.859375
list-ds,8,16,384,247148,643.614583
list-ds,12,16,576,301899,524.130208
list-ils,2,16,96,117560,1224.583333
list-ils,4,16,192,185475,966.015625
list-ils,8,16,384,278211,724.507812
list-ils,12,16,576,310671,539.359375
list-dls,2,16,96,124575,1297.656250
list-dls,4,16,192,136403,710.432292
list-dls,8,16,384,236330,615.442708
list-dls,12,16,576,323732,562.034722
list-is,2,32,192,123094,641.114583
list-is,4,32,384,199910,520.598958
list-is,8,32,768,353864,460.760417
list-is,12,32,1152,464418,403.140625
list-ds,2,32,192,149504,778.666667
list-ds,4,32,384,186993,486.960938
list-ds,8,32,768,254433,331.292969
list-ds,12,32,1152,548374,476.019097
list-ils,2,32,192,145297,756.755208
list-ils,4,32,384,203810,530.755208
list-ils,8,32,768,430221,560.183594
list-ils,12,32,1152,576699,500.606771
list-dls,2,32,192,138962,723.760417
list-dls,4,32,384,196733,512.325521
list-dls,8,32,768,358337,466.584635
list-dls,12,32,1152,728600,632.465278
list-none-s,1,1000,3000,4610840,1536.946667
list-none-m,1,1000,3000,4614380,1538.126667
list-none-s,2,1000,6000,7305383,1217.563833
list-none-m,2,1000,6000,9260081,1543.346833
list-none-s,4,1,12,91761,7646.750000
list-none-m,4,1,12,158603,13216.916667
list-none-s,8,1,24,201412,8392.166667
list-none-m,8,1,24,210810,8783.750000
list-none-s,12,1,36,312407,8677.972222
list-none-m,12,1,36,311241,8645.583333
list-none-s,16,1,48,366181,7628.770833
list-none-m,16,1,48,409024,8521.333333
list-none-s,24,1,72,596693,8287.402778
list-none-m,24,1,72,584776,8121.888889
list-none-none,1,10,30,81006,2700.200000
list-none-none,1,100,300,129720,432.400000
list-none-none,1,1000,3000,3536700,1178.900000
list-none-none,1,10000,30000,330509284,11016.976133
list-none-none,1,20000,60000,1362920190,22715.336500
list-none-none,2,1,6,120009,20001.500000
